team_a,team_b,date,tournament,neutral,team_a_matches_last5,team_b_matches_last5,team_a_win_rate_last5,team_b_win_rate_last5,team_a_draw_rate_last5,team_b_draw_rate_last5,team_a_loss_rate_last5,team_b_loss_rate_last5,team_a_points_per_match_last5,team_b_points_per_match_last5,team_a_matches_last10,team_b_matches_last10,team_a_win_rate_last10,team_b_win_rate_last10,team_a_draw_rate_last10,team_b_draw_rate_last10,team_a_loss_rate_last10,team_b_loss_rate_last10,team_a_avg_goals_scored_last10,team_b_avg_goals_scored_last10,team_a_avg_goals_conceded_last10,team_b_avg_goals_conceded_last10,team_a_avg_goal_diff_last10,team_b_avg_goal_diff_last10,team_a_points_per_match_last10,team_b_points_per_match_last10,win_rate_diff_last10,points_per_match_diff_last10,avg_goals_scored_diff_last10,avg_goals_conceded_diff_last10,avg_goal_diff_diff_last10,h2h_matches,team_a_h2h_win_rate,team_b_h2h_win_rate,h2h_draw_rate,team_a_h2h_avg_goals,team_b_h2h_avg_goals,match_no,stage,group,venue,city,country
Colombia,Congo DR/Jamaica/New Caledonia,2026-06-23,FIFA World Cup 2026,True,5,0,0.6,0.0,0.0,0.0,0.4,0.0,1.8,0.0,10,0,0.7,0.0,0.1,0.0,0.2,0.0,2.5,0.0,1.0,0.0,1.5,0.0,2.2,0.0,0.7,2.2,2.5,1.0,1.5,0,0.0,0.0,0.0,0.0,0.0,Match 48,,Group K,Estadio Guadalajara,,
Scotland,Brazil,2026-06-24,FIFA World Cup 2026,True,5,5,0.6,0.6,0.0,0.2,0.4,0.2,1.8,2.0,10,10,0.6,0.6,0.1,0.1,0.3,0.3,2.1,2.5,1.0,1.1,1.1,1.4,1.9,1.9,0.0,0.0,-0.3999999999999999,-0.10000000000000009,-0.2999999999999998,2,0.0,1.0,0.0,0.5,2.0,Match 49,,Group C,Miami Stadium,,
Morocco,Haiti,2026-06-24,FIFA World Cup 2026,True,5,5,0.6,0.4,0.4,0.2,0.0,0.4,2.2,1.4,10,10,0.6,0.4,0.3,0.3,0.1,0.3,1.9,1.5,0.4,1.0,1.5,0.5,2.1,1.5,0.19999999999999996,0.6000000000000001,0.3999999999999999,-0.6,1.0,0,0.0,0.0,0.0,0.0,0.0,Match 50,,Group C,Atlanta Stadium,,
Switzerland,Canada,2026-06-24,FIFA World Cup 2026,True,5,5,0.2,0.4,0.6,0.6,0.2,0.0,1.2,1.8,10,10,0.5,0.4,0.4,0.5,0.1,0.1,2.2,0.9,0.8,0.4,1.4,0.5,1.9,1.7,0.09999999999999998,0.19999999999999996,1.3000000000000003,0.4,0.8999999999999999,1,0.0,1.0,0.0,1.0,3.0,Match 51,,Group B,BC Place Vancouver,,
Bosnia and Herzegovina/Italy/Northern Ireland/Wales,Qatar,2026-06-24,FIFA World Cup 2026,True,0,5,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.4,0,10,0.0,0.1,0.0,0.4,0.0,0.5,0.0,0.7,0.0,1.5,0.0,-0.8,0.0,0.7,-0.1,-0.7,-0.7,-1.5,0.8,0,0.0,0.0,0.0,0.0,0.0,Match 52,,Group B,Seattle Stadium,,
Czechia/Denmark/North Macedonia/Republic of Ireland,Mexico,2026-06-24,FIFA World Cup 2026,True,0,5,0.0,0.6,0.0,0.4,0.0,0.0,0.0,2.2,0,10,0.0,0.6,0.0,0.3,0.0,0.1,0.0,1.6,0.0,0.4,0.0,1.2,0.0,2.1,-0.6,-2.1,-1.6,-0.4,-1.2,0,0.0,0.0,0.0,0.0,0.0,Match 53,,Group A,Mexico City Stadium,,
South Africa,Korea Republic,2026-06-24,FIFA World Cup 2026,True,5,5,0.2,0.6,0.6,0.0,0.2,0.4,1.2,1.8,10,10,0.4,0.6,0.3,0.1,0.3,0.3,1.3,1.5,1.1,1.2,0.2,0.3,1.5,1.9,-0.19999999999999996,-0.3999999999999999,-0.19999999999999996,-0.09999999999999987,-0.09999999999999998,0,0.0,0.0,0.0,0.0,0.0,Match 54,,Group A,Estadio Monterrey,,
Curaçao,Côte d'Ivoire,2026-06-25,FIFA World Cup 2026,True,5,5,0.2,0.8,0.2,0.0,0.6,0.2,0.8,2.4,10,10,0.4,0.7,0.3,0.1,0.3,0.2,1.9,1.9,1.4,0.8,0.5,1.1,1.5,2.2,-0.29999999999999993,-0.7000000000000002,0.0,0.5999999999999999,-0.6000000000000001,0,0.0,0.0,0.0,0.0,0.0,Match 55,,Group E,Philadelphia Stadium,,
Ecuador,Germany,2026-06-25,FIFA World Cup 2026,True,5,5,0.6,1.0,0.4,0.0,0.0,0.0,2.2,3.0,10,10,0.4,0.9,0.6,0.0,0.0,0.1,1.2,2.8,0.5,0.8,0.7,2.0,1.8,2.7,-0.5,-0.9000000000000001,-1.5999999999999999,-0.30000000000000004,-1.3,2,0.0,1.0,0.0,1.0,3.5,Match 56,,Group E,New York New Jersey Stadium,,
Japan,Albania/Poland/Sweden/Ukraine,2026-06-25,FIFA World Cup 2026,True,5,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10,0,0.7,0.0,0.2,0.0,0.1,0.0,1.4,0.0,0.6,0.0,0.8,0.0,2.3,0.0,0.7,2.3,1.4,0.6,0.8,0,0.0,0.0,0.0,0.0,0.0,Match 57,,Group F,Dallas Stadium,,
Tunisia,Netherlands,2026-06-25,FIFA World Cup 2026,True,5,5,0.2,0.6,0.4,0.2,0.4,0.2,1.0,2.0,10,10,0.4,0.6,0.3,0.3,0.3,0.1,1.3,2.2,1.3,0.8,0.0,1.4,1.5,2.1,-0.19999999999999996,-0.6000000000000001,-0.9000000000000001,0.5,-1.4,1,0.0,0.0,1.0,1.0,1.0,Match 58,,Group F,Kansas City Stadium,,
Kosovo/Romania/Slovakia/Türkiye,USA,2026-06-25,FIFA World Cup 2026,True,0,5,0.0,0.4,0.0,0.0,0.0,0.6,0.0,1.2,0,10,0.0,0.5,0.0,0.1,0.0,0.4,0.0,1.8,0.0,1.7,0.0,0.1,0.0,1.6,-0.5,-1.6,-1.8,-1.7,-0.1,0,0.0,0.0,0.0,0.0,0.0,Match 59,,Group D,Los Angeles Stadium,,
Paraguay,Australia,2026-06-25,FIFA World Cup 2026,True,5,5,0.6,0.4,0.0,0.2,0.4,0.4,1.8,1.4,10,10,0.4,0.5,0.2,0.1,0.4,0.4,1.2,1.3,1.0,1.0,0.2,0.3,1.4,1.6,-0.09999999999999998,-0.20000000000000018,-0.10000000000000009,0.0,-0.09999999999999998,5,0.0,0.4,0.6,0.4,0.8,Match 60,,Group D,San Francisco Bay Area Stadium,,
Norway,France,2026-06-26,FIFA World Cup 2026,True,5,5,0.4,0.8,0.4,0.0,0.2,0.2,1.6,2.4,10,10,0.6,0.8,0.3,0.1,0.1,0.1,3.1,2.5,0.8,0.9,2.3,1.6,2.1,2.5,-0.20000000000000007,-0.3999999999999999,0.6000000000000001,-0.09999999999999998,0.6999999999999997,4,0.25,0.25,0.5,1.25,2.0,Match 61,,Group I,Boston Stadium,,
Senegal,Bolivia/Iraq/Suriname,2026-06-26,FIFA World Cup 2026,True,5,0,0.6,0.0,0.2,0.0,0.2,0.0,2.0,0.0,10,0,0.7,0.0,0.2,0.0,0.1,0.0,1.7,0.0,0.6,0.0,1.1,0.0,2.3,0.0,0.7,2.3,1.7,0.6,1.1,0,0.0,0.0,0.0,0.0,0.0,Match 62,,Group I,Toronto Stadium,,
Egypt,IR Iran,2026-06-26,FIFA World Cup 2026,True,5,5,0.4,0.8,0.4,0.0,0.2,0.2,1.6,2.4,10,10,0.5,0.5,0.3,0.2,0.2,0.3,1.3,2.0,0.6,0.7,0.7,1.3,1.8,1.7,0.0,0.10000000000000009,-0.7,-0.09999999999999998,-0.6000000000000001,1,0.0,0.0,1.0,1.0,1.0,Match 63,,Group G,Seattle Stadium,,
New Zealand,Belgium,2026-06-26,FIFA World Cup 2026,True,5,5,0.2,0.8,0.0,0.2,0.8,0.0,0.6,2.6,10,10,0.1,0.7,0.1,0.3,0.8,0.0,0.7,3.7,1.8,0.6,-1.1,3.1,0.4,2.4,-0.6,-2.0,-3.0,1.2000000000000002,-4.2,0,0.0,0.0,0.0,0.0,0.0,Match 64,,Group G,BC Place Vancouver,,
Cabo Verde,Saudi Arabia,2026-06-26,FIFA World Cup 2026,True,5,5,0.4,0.2,0.4,0.2,0.2,0.6,1.6,0.8,10,10,0.5,0.3,0.4,0.2,0.1,0.5,1.9,1.0,0.9,1.2,1.0,-0.2,1.9,1.1,0.2,0.7999999999999998,0.8999999999999999,-0.29999999999999993,1.2,0,0.0,0.0,0.0,0.0,0.0,Match 65,,Group H,Houston Stadium,,
Uruguay,Spain,2026-06-26,FIFA World Cup 2026,True,5,5,0.2,0.4,0.6,0.6,0.2,0.0,1.2,1.8,10,10,0.4,0.7,0.4,0.3,0.2,0.0,1.0,2.8,0.9,0.4,0.1,2.4,1.6,2.4,-0.29999999999999993,-0.7999999999999998,-1.7999999999999998,0.5,-2.3,4,0.0,0.75,0.25,1.0,2.25,Match 66,,Group H,Estadio Guadalajara,,
Panama,England,2026-06-27,FIFA World Cup 2026,True,5,5,0.4,0.6,0.4,0.2,0.2,0.2,1.6,2.0,10,10,0.4,0.8,0.4,0.1,0.2,0.1,1.8,2.4,1.6,0.2,0.2,2.2,1.6,2.5,-0.4,-0.8999999999999999,-0.5999999999999999,1.4000000000000001,-2.0,1,0.0,1.0,0.0,1.0,6.0,Match 67,,Group L,New York New Jersey Stadium,,
Croatia,Ghana,2026-06-27,FIFA World Cup 2026,True,5,5,0.6,0.0,0.0,0.2,0.4,0.8,1.8,0.2,10,10,0.7,0.3,0.1,0.2,0.2,0.5,1.9,1.1,1.0,1.4,0.9,-0.3,2.2,1.1,0.39999999999999997,1.1,0.7999999999999998,-0.3999999999999999,1.2,0,0.0,0.0,0.0,0.0,0.0,Match 68,,Group L,Philadelphia Stadium,,
Algeria,Austria,2026-06-27,FIFA World Cup 2026,True,5,5,0.6,0.8,0.2,0.2,0.2,0.0,2.0,2.6,10,10,0.7,0.8,0.2,0.1,0.1,0.1,1.9,2.7,0.4,0.4,1.5,2.3,2.3,2.5,-0.10000000000000009,-0.20000000000000018,-0.8000000000000003,0.0,-0.7999999999999998,0,0.0,0.0,0.0,0.0,0.0,Match 69,,Group J,Kansas City Stadium,,
Jordan,Argentina,2026-06-27,FIFA World Cup 2026,True,5,5,0.0,1.0,0.6,0.0,0.4,0.0,0.6,3.0,10,10,0.3,0.8,0.4,0.1,0.3,0.1,1.6,2.5,1.7,0.3,-0.1,2.2,1.3,2.5,-0.5,-1.2,-0.8999999999999999,1.4,-2.3000000000000003,0,0.0,0.0,0.0,0.0,0.0,Match 70,,Group J,Dallas Stadium,,
Colombia,Portugal,2026-06-27,FIFA World Cup 2026,True,5,5,0.6,0.8,0.0,0.2,0.4,0.0,1.8,2.6,10,10,0.7,0.7,0.1,0.2,0.2,0.1,2.5,2.6,1.0,0.9,1.5,1.7,2.2,2.3,0.0,-0.09999999999999964,-0.10000000000000009,0.09999999999999998,-0.19999999999999996,0,0.0,0.0,0.0,0.0,0.0,Match 71,,Group K,Miami Stadium,,
Congo DR/Jamaica/New Caledonia,Uzbekistan,2026-06-27,FIFA World Cup 2026,True,0,5,0.0,0.2,0.0,0.4,0.0,0.4,0.0,1.0,0,10,0.0,0.4,0.0,0.3,0.0,0.3,0.0,1.2,0.0,0.9,0.0,0.3,0.0,1.5,-0.4,-1.5,-1.2,-0.9,-0.3,0,0.0,0.0,0.0,0.0,0.0,Match 72,,Group K,Atlanta Stadium,,
Group A runners-up,Group B runners-up,2026-06-28,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 73,,,Los Angeles Stadium,,
Group E winners,Group A/B/C/D/F third place,2026-06-29,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 74,,,Boston Stadium,,
Group F winners,Group C runners-up,2026-06-29,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 75,,,Estadio Monterrey,,
Group C winners,Group F runners-up,2026-06-29,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 76,,,Houston Stadium,,
Group I winners,Group C/D/F/G/H third place,2026-06-30,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 77,,,New York New Jersey Stadium,,
Group E runners up,Group I runners-up,2026-06-30,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 78,,,Dallas Stadium,,
Group A winners,Group C/E/F/H/I third place,2026-06-30,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 79,,,Mexico City Stadium,,
Group L winners,Group E/H/I/J/K third place,2026-07-01,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 80,,,Atlanta Stadium,,
Group D winners,Group B/E/F/I/J third place,2026-07-01,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 81,,,San Francisco Bay Area Stadium,,
Group G winners,Group A/E/H/I/J third place,2026-07-01,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 82,,,Seattle Stadium,,
Group K runners-up,Group L runners-up,2026-07-02,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 83,,,Toronto Stadium,,
Group H winners,Group J runners-up,2026-07-02,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 84,,,Los Angeles Stadium,,
Group B winners,Group E/F/G/I/J third place,2026-07-02,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 85,,,BC Place Vancouver,,
Group J winners,Group H runners-up,2026-07-03,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 86,,,Miami Stadium,,
Group K winners,Group D/E/I/J/L third place,2026-07-03,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 87,,,Kansas City Stadium,,
Group D runners-up,Group G runners-up,2026-07-03,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 88,,,Dallas Stadium,,
Winner match 74,Winner match 77,2026-07-04,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 89,,,Philadelphia Stadium,,
Winner match 73,Winner match 75,2026-07-04,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 90,,,Houston Stadium,,
Winner match 76,Winner match 78,2026-07-05,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 91,,,New York New Jersey Stadium,,
Winner match 79,Winner match 80,2026-07-05,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 92,,,Mexico City Stadium,,
Winner match 83,Winner match 84,2026-07-06,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 93,,,Dallas Stadium,,
Winner match 81,Winner match 82,2026-07-06,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 94,,,Seattle Stadium,,
Winner match 86,Winner match 88,2026-07-07,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 95,,,Atlanta Stadium,,
Winner match 85,Winner match 87,2026-07-07,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 96,,,BC Place Vancouver,,
Winner match 89,Winner match 90,2026-07-09,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 97,,,Boston Stadium,,
Winner match 93,Winner match 94,2026-07-10,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 98,,,Los Angeles Stadium,,
Winner match 91,Winner match 92,2026-07-11,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 99,,,Miami Stadium,,
Winner match 95,Winner match 96,2026-07-11,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 100,,,Kansas City Stadium,,
Winner match 97,Winner match 98,2026-07-14,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 101,,,Dallas Stadium,,
Winner match 99,Winner match 100,2026-07-15,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 102,,,Atlanta Stadium,,
Runner-up match 101,Runner-up match 102,2026-07-18,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 103,,,Miami Stadium,,
Winner match 101,Winner match 102,2026-07-19,FIFA World Cup 2026,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Match 104,,,New York New Jersey Stadium,,
